airplane	D_in	H_in	M_in	D_out	H_out	M_out	Pucks_Type_p_i_o
62	19	14	55	20	16	20	211
72	19	15	35	20	17	5	211
89	19	16	30	20	13	30	122
94	19	16	55	20	13	0	122
102	19	17	35	20	13	50	211
103	19	17	40	21	8	5	211
104	19	17	50	20	0	20	122
106	19	17	55	20	0	55	112
107	19	18	0	20	0	5	122
108	19	18	5	20	0	20	122
109	19	18	5	21	13	0	112
112	19	18	20	20	10	10	212
117	19	18	35	20	7	45	211
129	19	19	20	20	0	5	122
131	19	19	30	20	0	10	122
136	19	19	50	20	8	15	211
142	19	20	10	20	10	40	212
144	19	20	10	20	1	50	222
145	19	20	10	20	13	55	211
147	19	20	15	20	8	20	211
148	19	20	20	20	9	30	212
149	19	20	25	20	0	15	222
150	19	20	25	20	6	40	211
151	19	20	30	20	10	5	121
155	19	20	45	20	9	0	211
156	19	21	0	20	8	0	212
159	19	21	5	20	12	30	122
165	19	21	20	20	8	55	212
168	19	21	40	20	9	25	211
170	19	21	50	20	8	5	211
171	19	21	50	20	8	30	211
173	19	22	0	20	6	40	211
174	19	22	0	20	9	55	211
175	19	22	5	20	7	30	211
177	19	22	5	20	8	35	212
178	19	22	10	20	9	40	221
179	19	22	15	20	6	40	211
180	19	22	25	20	6	55	211
181	19	22	25	20	8	55	211
182	19	22	30	20	8	0	211
183	19	22	30	20	9	10	212
184	19	22	45	20	9	5	211
185	19	22	50	20	8	55	221
186	19	22	50	20	9	50	212
187	19	22	55	20	8	25	211
188	19	23	0	20	6	55	211
189	19	23	10	20	9	25	212
190	19	23	10	20	10	15	212
191	19	23	15	20	9	0	211
192	19	23	20	20	7	35	211
193	19	23	20	20	9	20	211
194	19	23	25	20	11	10	211
195	19	23	30	20	9	5	211
196	19	23	40	20	14	10	211
197	19	23	55	20	9	25	211
208	19	5	0	20	14	20	122
253	20	10	0	20	12	40	212
254	20	10	5	20	12	30	211
255	20	10	10	20	12	0	212
256	20	10	10	20	13	5	211
257	20	10	15	20	11	15	212
258	20	10	15	20	11	45	212
259	20	10	20	20	11	20	211
260	20	10	20	20	12	15	222
261	20	10	20	20	12	15	222
262	20	10	25	20	11	25	212
263	20	10	25	20	11	35	212
264	20	10	30	20	13	5	211
265	20	10	30	20	12	15	212
266	20	10	35	20	12	25	211
267	20	10	40	20	12	0	211
268	20	10	40	20	12	30	221
269	20	10	45	20	12	5	221
270	20	11	0	20	12	15	221
271	20	11	0	20	13	10	212
272	20	11	5	20	18	5	211
273	20	11	20	20	12	10	211
274	20	11	25	20	13	15	222
275	20	12	0	20	18	10	222
276	20	12	20	20	13	25	211
277	20	12	25	20	13	35	211
278	20	12	25	20	13	55	221
279	20	12	40	20	15	50	211
280	20	12	55	20	14	25	112
281	20	13	0	20	14	5	212
282	20	13	5	20	16	30	211
283	20	13	10	20	14	20	211
284	20	13	15	20	14	15	211
285	20	13	20	20	14	25	221
286	20	13	25	20	14	30	212
287	20	13	40	20	14	45	222
288	20	13	40	20	14	50	211
289	20	13	50	20	14	55	212
290	20	13	50	20	15	30	221
291	20	13	55	20	17	25	211
292	20	14	0	20	15	45	222
293	20	14	10	20	15	20	211
294	20	14	20	20	15	25	211
295	20	14	25	20	16	15	221
296	20	14	25	20	15	40	221
297	20	14	30	20	17	20	211
298	20	14	35	20	16	30	211
299	20	14	40	20	16	10	211
300	20	14	45	20	15	55	211
301	20	14	45	20	17	10	212
302	20	14	50	20	19	30	222
303	20	14	50	20	16	15	222
304	20	14	50	20	16	10	122
305	20	14	55	20	15	55	211
306	20	14	55	20	16	5	211
307	20	14	55	20	16	35	211
308	20	15	0	20	20	20	122
309	20	15	0	20	15	50	211
310	20	15	10	20	16	20	211
311	20	15	15	20	16	50	221
312	20	15	20	20	16	10	211
313	20	15	20	20	16	55	212
314	20	15	25	20	17	0	222
315	20	15	25	20	16	45	211
316	20	15	30	20	19	45	122
317	20	15	35	20	16	40	221
318	20	15	40	20	18	30	222
319	20	15	45	20	17	15	212
320	20	15	55	20	17	30	211
321	20	15	55	20	17	0	221
322	20	15	55	20	19	15	221
323	20	15	55	20	17	5	211
324	20	15	55	20	17	30	222
325	20	16	5	20	17	40	211
326	20	16	15	20	18	5	211
327	20	16	20	20	18	30	212
328	20	16	20	21	7	55	122
329	20	16	30	20	17	35	221
330	20	16	30	20	18	0	212
331	20	16	30	20	20	5	121
332	20	16	35	20	17	40	212
333	20	16	35	20	20	0	122
334	20	16	40	20	17	35	222
335	20	16	50	20	17	55	211
336	20	16	55	21	13	40	122
337	20	16	55	20	18	10	212
338	20	16	55	21	0	15	122
339	20	17	0	20	17	50	211
340	20	17	10	21	12	30	122
341	20	17	20	20	18	20	212
342	20	17	20	21	15	50	211
343	20	17	30	21	9	15	222
344	20	17	30	20	18	40	222
345	20	17	35	20	21	0	211
346	20	17	40	20	20	55	211
347	20	17	50	20	21	0	122
348	20	18	0	20	19	30	211
349	20	18	0	21	0	20	122
350	20	18	10	20	19	30	212
351	20	18	15	20	19	45	221
352	20	18	20	20	20	40	112
353	20	18	20	20	19	35	221
354	20	18	25	20	21	0	221
355	20	18	30	20	19	35	211
356	20	18	30	20	21	25	211
357	20	18	35	21	7	45	211
358	20	18	40	20	19	45	222
359	20	18	45	20	19	50	221
360	20	18	50	20	20	5	211
361	20	18	50	20	20	0	222
362	20	18	50	20	20	0	211
363	20	18	50	21	0	5	122
364	20	18	55	20	21	10	211
365	20	18	55	20	20	0	212
366	20	18	55	20	21	0	221
367	20	19	10	20	21	20	211
368	20	19	15	20	21	15	221
369	20	19	15	20	21	25	211
370	20	19	20	21	0	5	122
371	20	19	20	20	23	10	222
372	20	19	30	20	21	30	221
